index,dataset,prompt,iou,dice,precision,recall,gt_coverage
372,cracks,segment crack,0.313230,0.477038,0.313270,0.999595,0.60
201,cracks,segment crack,0.351987,0.520695,0.352080,0.999243,2.26
216,cracks,segment crack,0.353122,0.521937,0.759860,0.397480,4.01
317,cracks,segment crack,0.357321,0.526509,0.978145,0.360197,4.37
6,cracks,segment crack,0.359116,0.528456,0.360380,0.990327,2.45
106,cracks,segment crack,0.359970,0.529379,0.918322,0.371876,5.37
391,cracks,segment crack,0.365132,0.534940,0.412075,0.762199,1.98
329,cracks,segment crack,0.384545,0.555482,0.795883,0.426619,11.50
288,drywall,segment taping area,0.387103,0.558146,0.389809,0.982381,1.54
19,cracks,segment crack,0.398764,0.570166,0.706102,0.478121,2.80
24,cracks,segment crack,0.401878,0.573342,0.403633,0.989297,6.00
101,cracks,segment crack,0.402553,0.574029,0.889687,0.423701,6.92
105,drywall,segment taping area,0.403897,0.575394,0.405499,0.990317,1.54
180,cracks,segment crack,0.409870,0.581430,0.409943,0.999569,2.27
336,drywall,segment taping area,0.411475,0.583043,0.825884,0.450561,4.90
148,cracks,segment crack,0.415415,0.586987,0.420015,0.974314,25.63
84,drywall,segment taping area,0.416446,0.588016,0.420032,0.979911,8.08
116,cracks,segment crack,0.428045,0.599484,0.942166,0.439595,15.15
370,cracks,segment crack,0.428183,0.599619,0.440495,0.938723,0.86
107,cracks,segment crack,0.428226,0.599662,0.431507,0.982557,1.19
228,cracks,segment crack,0.428888,0.600310,0.495878,0.760465,1.43
295,cracks,segment crack,0.431927,0.603280,0.992472,0.433346,11.88
287,cracks,segment crack,0.443223,0.614212,0.445270,0.989732,0.55
200,cracks,segment crack,0.444298,0.615244,0.452964,0.958715,9.88
264,cracks,segment crack,0.444561,0.615497,0.451518,0.966505,3.52
300,cracks,segment crack,0.445398,0.616298,0.585558,0.650445,1.81
87,cracks,segment crack,0.446425,0.617281,0.998251,0.446775,7.49
212,cracks,segment crack,0.455081,0.625506,0.456233,0.994483,0.53
199,cracks,segment crack,0.457567,0.627850,0.465889,0.962430,3.92
179,cracks,segment crack,0.460628,0.630726,0.891641,0.487943,3.84
138,cracks,segment crack,0.469145,0.638664,0.939321,0.483807,11.86
79,cracks,segment crack,0.475331,0.644372,0.523131,0.838765,1.00
119,cracks,segment crack,0.478431,0.647214,0.479879,0.993732,0.66
218,cracks,segment crack,0.479777,0.648445,0.575629,0.742351,3.87
328,cracks,segment crack,0.480156,0.648791,0.980008,0.484906,12.39
311,cracks,segment crack,0.480495,0.649100,0.943971,0.494601,3.78
73,cracks,segment crack,0.482177,0.650633,0.482177,1.000000,0.87
44,cracks,segment crack,0.485480,0.653634,0.556364,0.792122,5.89
238,cracks,segment crack,0.486982,0.654994,0.578646,0.754551,1.86
198,cracks,segment crack,0.488845,0.656677,0.489974,0.995311,4.48
177,cracks,segment crack,0.489655,0.657407,0.949122,0.502854,2.31
399,cracks,segment crack,0.490211,0.657908,0.646391,0.669843,8.53
274,drywall,segment taping area,0.495558,0.662707,0.503217,0.970205,1.91
81,cracks,segment crack,0.498924,0.665709,0.502827,0.984678,1.61
141,cracks,segment crack,0.507278,0.673105,0.507737,0.998222,1.24
339,cracks,segment crack,0.510858,0.676248,0.593482,0.785841,2.88
183,cracks,segment crack,0.510923,0.676306,0.554320,0.867130,4.25
298,cracks,segment crack,0.510963,0.676341,0.995935,0.512031,4.09
33,cracks,segment crack,0.513965,0.678965,0.550523,0.885580,4.17
279,drywall,segment taping area,0.515582,0.680375,0.517832,0.991644,8.27
379,drywall,segment taping area,0.516205,0.680917,0.524557,0.970080,28.62
72,cracks,segment crack,0.517427,0.681979,0.541809,0.919987,3.11
210,drywall,segment taping area,0.520621,0.684748,0.569301,0.858927,45.78
67,cracks,segment crack,0.522270,0.686173,0.991236,0.524693,4.16
365,cracks,segment crack,0.522502,0.686373,0.827279,0.586481,5.40
341,cracks,segment crack,0.523763,0.687460,0.883412,0.562655,4.62
22,cracks,segment crack,0.525884,0.689284,0.973282,0.533587,13.48
78,cracks,segment crack,0.527290,0.690491,0.979718,0.533109,5.38
240,cracks,segment crack,0.532006,0.694522,0.927255,0.555177,2.08
368,drywall,segment taping area,0.532237,0.694719,0.546428,0.953476,28.26
182,cracks,segment crack,0.533068,0.695427,0.571602,0.887733,1.03
348,cracks,segment crack,0.533236,0.695569,0.759667,0.641447,3.75
